,frame,RMS,abs rel,mean GT,mean pred,scaling factor,file number,,,,,,,,
frame26,26,0.342948180932717,0.27989572766394,1.223,0.880051819067283,1.38969089490229,4,,,,,,,,
frame27,27,0.341408167125618,0.281397063781561,1.209,0.867591832874382,1.39351242622296,4,,,,,,,,
frame28,28,0.326869946128674,0.266131482126958,1.2265,0.899630053871326,1.36333817964626,4,,,,,,,,
frame29,29,0.436773514422633,0.351572517185876,1.2415,0.804726485577367,1.54276020766144,4,,,,,,,,
frame30,30,0.373482678522399,0.298199515864885,1.2505,0.877017321477601,1.42585553258304,4,,,,,,,,
frame31,31,0.372929681516977,0.298022153084552,1.24966666666667,0.87673698514969,1.4253609552622,4,,,,,,,,
frame32,32,0.433417731386297,0.341637040112137,1.2642,0.830782268613704,1.52169834114241,4,,,,,,,,
frame33,33,0.267356795238184,0.210466688642462,1.26833333333333,1.00097653809515,1.26709596585247,4,,,,,,,,
frame34,34,0.292142756670821,0.227696327758678,1.28,0.987857243329179,1.29573378000071,4,,,,,,,,
frame35,35,0.284938811296067,0.221013408881558,1.28725,1.00231118870393,1.28428178245173,4,,,,,,,,
frame36,36,0.316613618695249,0.243843419421868,1.297,0.980386381304751,1.32294779357694,4,,,,,,,,
frame37,37,1.35581470354775,0.588921192055209,2.0845,0.728685296452246,2.86063134545025,4,,,,,,,,
frame38,38,0.774566506708818,0.586719864307267,1.3195,0.544933493291182,2.42139640202834,4,,,,,,,,
frame39,39,0.36276305993287,0.269402764946516,1.343,0.98023694006713,1.37007691212701,4,,,,,,,,
frame40,40,2.1765744043572,-0.967099558203101,1.35416666666667,2.66529137164366,0.508074532140765,4,,,,,,,,
frame41,41,3.9648836840632,-2.2162852668214,1.3758,4.37159876913549,0.31471323711441,4,,,,3910322.53637857,2807861.6618184,1.3932,-3910321.14317857,-3.56287872271154E-07
frame42,42,NaN,NaN,NaN,NaN,NaN,4,,,,,,,,
frame43,43,0.392642375037708,0.277617222844481,1.4066,1.01395762496229,1.38723745980244,4,,,,,,,,
frame44,44,0.365096251036551,0.25727006457178,1.4116,1.04650374896345,1.34887237756976,4,,,,,,,,
frame45,45,0.259309798416093,0.176802618815737,1.44733333333333,1.18802353491724,1.21826991704685,4,,,,,,,,
frame46,46,0.29758021735794,0.20680035751816,1.4316,1.13401978264206,1.26241183964589,4,,,,,,,,
frame47,47,0.291713628188151,0.195912760599046,1.47083333333333,1.17911970514518,1.24739950228568,4,,,,,,,,
frame48,48,0.311711966361121,0.203157411596573,1.51533333333333,1.20362136697221,1.25897842537081,4,,,,,,,,
frame49,49,0.238144354107758,0.156631078116105,1.49666666666667,1.25852231255891,1.18922537306752,4,,,,,,,,
frame50,50,0.303942809311341,0.198827226588654,1.50983333333333,1.20589052402199,1.25204842666613,4,,,,,,,,
frame51,51,0.280505549317865,0.182713158457899,1.51483333333333,1.23432778401547,1.22725369464287,4,,,,,,,,
frame52,52,1.27041509056871,-0.551348572519723,1.51228571428571,2.3233732111519,0.650900900047797,4,,,,,,,,
frame53,53,0.460770672719214,0.30219934681624,1.51916666666667,1.05839599394745,1.43534808838486,4,,,,,,,,
frame54,54,0.427733078287421,0.279661792970558,1.52383333333333,1.09610025504591,1.39023171130409,4,,,,,,,,
frame55,55,0.39882778705786,0.259738013575258,1.53016666666667,1.13133887960881,1.3525272526617,4,,,,,,,,
frame56,56,0.466951610037351,0.302321160504328,1.54083333333333,1.07388172329598,1.43482592161469,4,,,,,,,,
frame57,57,0.448972349039097,0.287518767736044,1.5605,1.1115276509609,1.40392368885377,4,,,,,,,,
frame58,58,0.457729520845625,0.290153308806265,1.5755,1.11777047915437,1.40950224521219,4,,,,,,,,
frame59,59,0.501448649955398,0.31754305867862,1.576,1.0745513500446,1.46665861983663,4,,,,,,,,
