,frame,RMS,abs rel,mean GT,mean pred,scaling factor,file number,,,
frame37,37,0.687970005708999,0.245074991160285,2.799375,2.111404994291,1.32583517021566,2,,,
frame38,38,0.740064517768695,0.263828696029969,2.79270588235294,2.05264136458425,1.36054253340967,2,,,
frame39,39,0.777150310072485,0.275817907859165,2.80647058823529,2.02932027816281,1.38296089505204,2,,,
frame40,40,0.770534639855466,0.273629290365453,2.7994375,2.02890286014453,1.37977897068989,2,,,
frame41,41,0.83176362478347,0.294978283593111,2.80511764705882,1.97335402227535,1.42149741779451,2,,,
frame42,42,0.786292945101243,0.277961137993905,2.81317647058824,2.02688352548699,1.38793198287619,2,,,
frame43,43,0.832753558657373,0.297207144617183,2.7953125,1.96255894134263,1.42432027956708,2,,,
frame44,44,0.762129609214603,0.271146491671679,2.79825,2.0361203907854,1.37430478701735,2,,,
frame45,45,0.676007865921778,0.241614439468091,2.7850625,2.10905463407822,1.3205264837614,2,,,
frame46,46,0.701415666731913,0.248984895189589,2.80158823529412,2.1001725685622,1.33398001537184,2,,,
frame47,47,0.744843251898774,0.266948144094141,2.7870625,2.04221924810123,1.36472247168922,2,,,
frame48,48,0.683889529239766,0.243020499112948,2.80664705882353,2.12275752958376,1.32217034668762,2,,,
frame49,49,0.482194859523319,0.171267989002155,2.79870588235294,2.31651102282962,1.20815565079173,2,,,
frame50,50,0.646252961326254,0.226480347860269,2.83523529411765,2.18898233279139,1.29522986624664,2,,,
frame51,51,0.680936829706443,0.240403455408992,2.82282352941176,2.14188669970532,1.31791449557072,2,,,
frame52,52,0.628751579597358,0.222522157262028,2.809,2.18024842040264,1.28838529303062,2,,,
frame53,53,0.611310969245086,0.215183343086002,2.81511764705882,2.20380667781374,1.27738865454911,2,,,
frame54,54,0.659709726056612,0.230332850766374,2.83105882352941,2.1713490974728,1.3038248095732,2,,,
frame55,55,0.592390217539329,0.206031286704905,2.83311764705882,2.24072742951949,1.26437406430391,2,,,
frame56,56,0.889078815516215,0.310853575049057,2.83688235294118,1.94780353742496,1.45645199756213,2,,,
frame57,57,0.815501262478138,0.282879231581487,2.85776470588235,2.04226344340421,1.39931247122496,2,,,
frame58,58,0.645134574845961,0.197740146640769,2.86094117647059,2.2847707119283,1.2521786810091,2,,,
frame59,59,0.671303869169479,0.173653017243134,2.88882352941176,2.37765310013182,1.21498949079309,2,,,
frame60,60,0.555709553510373,0.166132654271053,2.90141176470588,2.41157089866276,1.20312107195967,2,,,
frame61,61,0.624950816770212,0.18313179009926,2.91329411764706,2.36824478001064,1.23014907168252,2,,,
frame62,62,0.558441474057677,0.143444922917438,2.92464705882353,2.49476465538379,1.17231381024741,2,,,
